  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         515         515   1.94174761E-03   1.94174761E-03   1.79999995       9.99999997E-07   50.0000000       1.00000005E-03   1000.00000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.170000166       8.49366188E-07   2.38418579E-07   9.90927219E-07
  0.171000168       8.49366188E-07   1.78813934E-07   9.90927219E-07
  0.172000170       8.56816769E-07   2.38418579E-07   9.90927219E-07
  0.173000172       8.49366188E-07   2.68220901E-07   9.90927219E-07
  0.174000174       8.49366188E-07   1.78813934E-07   9.90927219E-07
  0.175000176       8.49366188E-07   1.78813934E-07   9.90927219E-07
  0.176000178       8.56816769E-07   1.78813934E-07   9.90927219E-07
  0.177000180       8.49366188E-07   2.68220901E-07   9.90927219E-07
  0.178000182       8.56816769E-07   2.08616257E-07   9.98839823E-07
  0.179000184       8.56816769E-07   2.38418579E-07   9.99507392E-07
  0.180000186       8.49366188E-07   2.38418579E-07   9.99159056E-07
  0.181000188       8.56816769E-07   2.68220901E-07   9.99054464E-07
  0.182000190       8.49366188E-07   2.38418579E-07   9.99363692E-07
  0.183000192       8.56816769E-07   2.38418579E-07   9.99611984E-07
  0.184000194       8.56816769E-07   2.38418579E-07   9.99927579E-07
  0.185000196       8.56816769E-07   2.38418579E-07   9.99109943E-07
  0.186000198       8.56816769E-07   2.38418579E-07   9.99067197E-07
  0.187000200       8.64267349E-07   2.38418579E-07   9.99181339E-07
  0.188000202       8.56816769E-07   2.38418579E-07   9.99969416E-07
  0.189000204       8.56816769E-07   2.38418579E-07   9.99108124E-07
  0.190000206       8.64267349E-07   2.08616257E-07   9.99161784E-07
  0.191000208       8.60542059E-07   2.68220901E-07   9.99931217E-07
  0.192000210       8.49366188E-07   1.78813934E-07   9.99849362E-07
  0.193000212       8.53091478E-07   2.08616257E-07   9.99742042E-07
  0.194000214       8.60542059E-07   2.38418579E-07   9.99822078E-07
  0.195000216       8.56816769E-07   2.08616257E-07   9.99535587E-07
  0.196000218       8.64267349E-07   2.38418579E-07   9.99136319E-07
  0.197000220       8.60542059E-07   2.38418579E-07   9.99267286E-07
  0.198000222       8.60542059E-07   2.08616257E-07   9.99220333E-07
  0.199000224       8.60542059E-07   2.38418579E-07   9.99925760E-07
  0.200000226       8.56816769E-07   2.38418579E-07   9.99447366E-07
  0.201000229       8.71717930E-07   2.38418579E-07   9.99350050E-07
  0.202000231       8.60542059E-07   2.38418579E-07   9.99709300E-07
  0.203000233       8.60542059E-07   2.08616257E-07   9.99299573E-07
  0.204000235       8.53091478E-07   1.49011612E-07   9.99309123E-07
  0.205000237       8.53091478E-07   2.38418579E-07   9.99774784E-07
  0.206000239       8.53091478E-07   2.38418579E-07   9.99309123E-07
  0.207000241       8.67992640E-07   2.38418579E-07   9.99309123E-07
  0.208000243       8.60542059E-07   2.08616257E-07   9.98377800E-07
  0.209000245       8.64267349E-07   1.78813934E-07   9.96515155E-07
  0.210000247       8.67992640E-07   2.38418579E-07   9.98377800E-07
  0.211000249       8.67992640E-07   2.08616257E-07   9.98377800E-07
  0.212000251       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.213000253       8.53091478E-07   2.38418579E-07   9.98377800E-07
  0.214000255       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.215000257       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.216000259       8.56816769E-07   1.78813934E-07   9.98377800E-07
  0.217000261       8.64267349E-07   2.98023224E-07   9.98377800E-07
  0.218000263       8.60542059E-07   2.08616257E-07   9.98377800E-07
  0.219000265       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.220000267       8.56816769E-07   2.08616257E-07   9.98377800E-07
  0.221000269       8.60542059E-07   2.98023224E-07   9.98377800E-07
  0.222000271       8.60542059E-07   2.38418579E-07   9.90927219E-07
  0.223000273       8.53091478E-07   2.08616257E-07   9.90927219E-07
  0.224000275       8.60542059E-07   2.08616257E-07   9.90927219E-07
  0.225000277       8.67992640E-07   1.78813934E-07   9.90927219E-07
  0.226000279       8.67992640E-07   2.08616257E-07   9.90927219E-07
  0.227000281       8.64267349E-07   1.78813934E-07   9.90927219E-07
  0.228000283       8.60542059E-07   1.49011612E-07   9.90927219E-07
  0.229000285       8.60542059E-07   2.38418579E-07   9.90927219E-07
  0.230000287       8.60542059E-07   1.78813934E-07   9.99698386E-07
  0.231000289       8.60542059E-07   2.38418579E-07   9.98654286E-07
  0.232000291       8.56816769E-07   2.38418579E-07   9.99284566E-07
  0.233000293       8.53091478E-07   2.08616257E-07   9.99967597E-07
  0.234000295       8.60542059E-07   1.78813934E-07   9.98978066E-07
  0.235000297       8.60542059E-07   1.78813934E-07   9.99745680E-07
  0.236000299       8.64267349E-07   2.98023224E-07   9.99221811E-07
  0.237000301       8.67992640E-07   2.38418579E-07   9.98836185E-07
  0.238000304       8.64267349E-07   1.78813934E-07   9.99461918E-07
  0.239000306       8.56816769E-07   2.08616257E-07   9.99458280E-07
  0.240000308       8.64267349E-07   2.08616257E-07   9.99090844E-07
  0.241000310       8.64267349E-07   2.08616257E-07   9.99491022E-07
  0.242000312       8.67992640E-07   1.78813934E-07   9.99855956E-07
  0.243000314       8.56816769E-07   1.78813934E-07   9.99546955E-07
  0.244000316       8.60542059E-07   2.08616257E-07   9.99589247E-07
  0.245000318       8.60542059E-07   2.38418579E-07   9.99671101E-07
  0.246000320       8.60542059E-07   2.38418579E-07   9.99922122E-07
  0.247000322       8.60542059E-07   1.78813934E-07   9.99745680E-07
  0.248000324       8.67992640E-07   2.38418579E-07   9.99640179E-07
  0.249000326       8.60542059E-07   1.78813934E-07   9.99745680E-07
  0.250000328       8.56816769E-07   2.08616257E-07   9.99702024E-07
  0.251000315       8.67992640E-07   2.38418579E-07   9.99687472E-07
  0.252000302       8.53091478E-07   3.57627869E-07   9.99858798E-07
  0.253000289       8.67992640E-07   1.78813934E-07   9.99795702E-07
  0.254000276       8.60542059E-07   2.38418579E-07   9.99345502E-07
  0.255000263       8.64267349E-07   1.78813934E-07   9.99829354E-07
  0.256000251       8.60542059E-07   2.38418579E-07   9.99967597E-07
  0.257000238       8.56816769E-07   2.38418579E-07   9.99501935E-07
  0.258000225       8.67992640E-07   2.38418579E-07   9.99652912E-07
  0.259000212       8.60542059E-07   2.38418579E-07   9.99771146E-07
  0.260000199       8.60542059E-07   2.38418579E-07   9.99943950E-07
  0.261000186       8.56816769E-07   2.38418579E-07   9.99993063E-07
